Geography,Year,Category,Industry Space Use,Value
North Melbourne,2022,Jobs by industry,Rental and hiring services,29
Parkville,2022,Jobs by industry,Accommodation,577
Parkville,2022,Jobs by industry,Arts and recreation services,563
Parkville,2022,Jobs by industry,Health care and social assistance,21195
Parkville,2022,Jobs by industry,Other services,167
Port Melbourne,2022,Jobs by industry,Accommodation,27
Port Melbourne,2022,Jobs by industry,Agriculture and mining,6
Port Melbourne,2022,Jobs by industry,Business services,1082
Port Melbourne,2022,Jobs by industry,Construction,1054
Port Melbourne,2022,Jobs by industry,"Electricity, gas, water and waste services",46
Port Melbourne,2022,Jobs by industry,Food and beverage services,302
Port Melbourne,2022,Jobs by industry,Information media and telecommunications,680
Port Melbourne,2022,Jobs by industry,Retail trade,346
South Yarra,2022,Jobs by industry,Accommodation,12
South Yarra,2022,Jobs by industry,"Electricity, gas, water and waste services",0
South Yarra,2022,Jobs by industry,Manufacturing,10
South Yarra,2022,Jobs by industry,Public administration and safety,30
South Yarra,2022,Jobs by industry,"Transport, postal and storage",0
South Yarra,2022,Jobs by industry,Wholesale trade,0
Southbank,2022,Jobs by industry,Accommodation,2275
Southbank,2022,Jobs by industry,Admin and support services,1453
Southbank,2022,Jobs by industry,Business services,7514
Southbank,2022,Jobs by industry,"Electricity, gas, water and waste services",1056
Southbank,2022,Jobs by industry,Finance and insurance,1531
Southbank,2022,Jobs by industry,Food and beverage services,4147
Southbank,2022,Jobs by industry,Information media and telecommunications,2542
Southbank,2022,Jobs by industry,Manufacturing,4219
Southbank,2022,Jobs by industry,Rental and hiring services,13
Southbank,2022,Jobs by industry,Wholesale trade,1054
West Melbourne (Industrial),2022,Jobs by industry,Construction,47
West Melbourne (Industrial),2022,Jobs by industry,Education and training,0
West Melbourne (Industrial),2022,Jobs by industry,Food and beverage services,10
West Melbourne (Industrial),2022,Jobs by industry,Health care and social assistance,11
West Melbourne (Industrial),2022,Jobs by industry,Other services,49
West Melbourne (Industrial),2022,Jobs by industry,Retail trade,19
West Melbourne (Residential),2022,Jobs by industry,Accommodation,22
West Melbourne (Residential),2022,Jobs by industry,Admin and support services,186
West Melbourne (Residential),2022,Jobs by industry,Business services,1142
West Melbourne (Residential),2022,Jobs by industry,Construction,168
West Melbourne (Residential),2022,Jobs by industry,Finance and insurance,78
West Melbourne (Residential),2022,Jobs by industry,Health care and social assistance,842
West Melbourne (Residential),2022,Jobs by industry,Manufacturing,105
West Melbourne (Residential),2022,Jobs by industry,Real estate services,36
West Melbourne (Residential),2022,Jobs by industry,Rental and hiring services,0
Carlton,2022,Jobs by space use,Education,3364
Carlton,2022,Jobs by space use,Entertainment - Hospitality,1418
Carlton,2022,Jobs by space use,Health,1436
Carlton,2022,Jobs by space use,Industrial,5
Carlton,2022,Jobs by space use,Office,6243
Docklands,2022,Jobs by space use,Education,1066
Docklands,2022,Jobs by space use,Entertainment - Hospitality,3199
Docklands,2022,Jobs by space use,Other - Employment,743
East Melbourne,2022,Jobs by space use,Industrial,49
East Melbourne,2022,Jobs by space use,Other - Employment,111
East Melbourne,2022,Jobs by space use,Retail,192
Kensington,2022,Jobs by space use,Accommodation - Commercial,23
Kensington,2022,Jobs by space use,Health,340
Kensington,2022,Jobs by space use,Office,2816
Kensington,2022,Jobs by space use,Retail,424
Melbourne (CBD),2022,Jobs by space use,Health,1995
Melbourne (CBD),2022,Jobs by space use,Office,175772
Melbourne (Remainder),2022,Jobs by space use,Education,3633
Melbourne (Remainder),2022,Jobs by space use,Health,5425
Melbourne (Remainder),2022,Jobs by space use,Office,10327
North Melbourne,2022,Jobs by space use,Education,723
North Melbourne,2022,Jobs by space use,Entertainment - Other,346
North Melbourne,2022,Jobs by space use,Other - Employment,98
Parkville,2022,Jobs by space use,Education,5919
Parkville,2022,Jobs by space use,Entertainment - Other,504
Parkville,2022,Jobs by space use,Health,21230
Parkville,2022,Jobs by space use,Industrial,0
Port Melbourne,2022,Jobs by space use,Entertainment - Hospitality,141
Port Melbourne,2022,Jobs by space use,Entertainment - Other,16
South Yarra,2022,Jobs by space use,Education,775
