Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,Location
2020,67,105677,105677,117-121 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Golden Nugget,Ground 117 Lonsdale Street MELBOURNE VIC 3000,250,144.9689,-37.81079,"-37.81079, 144.9689"
2020,67,108581,108581,226-236 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Heartbreaker,234A Russell Street MELBOURNE VIC 3000,166,144.96764,-37.81098,"-37.81098, 144.96764"
2020,71,105318,105318,Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,Melbourne (CBD),Hotel Sophia,Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,116,144.9542,-37.81368,"-37.81368, 144.9542"
2020,74,104662,104662,106-112 Hardware Street MELBOURNE VIC 3000,Melbourne (CBD),Mjolner Melbourne,"Unit 1, 106-112 Hardware Street MELBOURNE VIC 3000",200,144.96068,-37.81214,"-37.81214, 144.96068"
2020,74,106019,106019,399-401 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Floyd's Bar,Restaurant Level 2 399 Little Lonsdale Street MELBOURNE VIC 3000,786,144.96014,-37.81205,"-37.81205, 144.96014"
2020,76,589841,105749,QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Strike Bowling,245-247 Little Lonsdale Street MELBOURNE VIC 3000,370,144.96573,-37.81068,"-37.81068, 144.96573"
2020,77,108573,108573,270 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Melbourne Whisky Room,Level 1 270A Russell Street MELBOURNE VIC 3000,50,144.96716,-37.81011,"-37.81011, 144.96716"
2020,77,108573,108573,270 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Whisky and Alement,Ground 270 Russell Street MELBOURNE VIC 3000,90,144.96716,-37.81011,"-37.81011, 144.96716"
2020,84,103207,103207,315-323 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),The Meeting Place,"Gnd, Bmt & Level 2 315-321 Elizabeth Street MELBOURNE VIC 3000",250,144.96146,-37.81122,"-37.81122, 144.96146"
2020,85,109302,109302,281-287 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Mui Karaoke,Level 2 258 Lonsdale Street MELBOURNE VIC 3000,243,144.96436,-37.81143,"-37.81143, 144.96436"
2020,96,606638,105490,"Building 1, Francis Ormond 124 La Trobe Street MELBOURNE VIC 3000",Melbourne (CBD),Pearson and Murphy's Cafe,"Part Building 1, Ground 124 La Trobe Street MELBOURNE VIC 3000",156,144.96459,-37.80822,"-37.80822, 144.96459"
2020,105,103301,103301,442-450 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Kicks,446 Elizabeth Street MELBOURNE VIC 3000,300,144.96086,-37.80831,"-37.80831, 144.96086"
2020,115,104103,104103,Mac's Hotel 34-38 Franklin Street MELBOURNE VIC 3000,Melbourne (CBD),Captain Melville,Mac's Hotel 34-38 Franklin Street MELBOURNE VIC 3000,355,144.96162,-37.80752,"-37.80752, 144.96162"
2020,204,101613,101613,377-391 Cardigan Street CARLTON VIC 3053,Carlton,Clyde Hotel,377-391 Cardigan Street CARLTON VIC 3053,239,144.96575,-37.79726,"-37.79726, 144.96575"
2020,207,106142,106142,291-299 Lygon Street CARLTON VIC 3053,Carlton,Agostino,297 Lygon Street CARLTON VIC 3053,90,144.96704,-37.79839,"-37.79839, 144.96704"
2020,207,106142,106142,291-299 Lygon Street CARLTON VIC 3053,Carlton,Johnny's Green Room,Rooftop 293 Lygon Street CARLTON VIC 3053,200,144.96704,-37.79839,"-37.79839, 144.96704"
2020,207,106153,106153,331-335 Lygon Street CARLTON VIC 3053,Carlton,Wolfs Lair,Rear 331-335 Lygon Street CARLTON VIC 3053,80,144.96717,-37.79751,"-37.79751, 144.96717"
2020,214,106186,106186,414-422 Lygon Street CARLTON VIC 3053,Carlton,Green Man's Arms,414-422 Lygon Street CARLTON VIC 3053,120,144.96781,-37.79695,"-37.79695, 144.96781"
2020,260,103276,103276,Royal Artillery Hotel 614-616 Elizabeth Street MELBOURNE VIC 3000,Carlton,The Last Jar,Royal Artillery Hotel 614-616 Elizabeth Street MELBOURNE VIC 3000,250,144.95891,-37.80388,"-37.80388, 144.95891"
