Geography,Year,Gender,Age,Value
South Yarra,2023,Male,Age 5-9,59
South Yarra,2023,Female,Age 10-14,38
South Yarra,2023,Female,Age 15-19,35
South Yarra,2023,Male,Age 15-19,51
South Yarra,2023,Female,Age 20-24,122
South Yarra,2023,Male,Age 25-29,271
South Yarra,2023,Male,Age 30-34,308
South Yarra,2023,Female,Age 35-39,215
South Yarra,2023,Female,Age 45-49,129
South Yarra,2023,Male,Age 45-49,99
South Yarra,2023,Female,Age 50-54,77
South Yarra,2023,Male,Age 65-69,112
South Yarra,2023,Male,Age 70-74,126
South Yarra,2023,Male,Age 85+,11
Southbank,2023,Female,Age 20-24,1751
Southbank,2023,Female,Age 30-34,2199
Southbank,2023,Male,Age 30-34,2306
Southbank,2023,Male,Age 35-39,1442
Southbank,2023,Male,Age 45-49,512
Southbank,2023,Female,Age 55-59,388
Southbank,2023,Male,Age 60-64,275
Southbank,2023,Male,Age 65-69,295
Southbank,2023,Female,Age 70-74,230
Southbank,2023,Female,Age 75-79,95
Southbank,2023,Female,Age 80-84,19
Southbank,2023,Female,Age 85+,51
West Melbourne (Industrial),2023,Female,Age 0-4,0
West Melbourne (Industrial),2023,Male,Age 0-4,0
West Melbourne (Industrial),2023,Male,Age 25-29,0
West Melbourne (Industrial),2023,Female,Age 30-34,0
West Melbourne (Industrial),2023,Male,Age 35-39,0
West Melbourne (Industrial),2023,Female,Age 50-54,0
West Melbourne (Industrial),2023,Female,Age 55-59,0
West Melbourne (Industrial),2023,Female,Age 60-64,0
West Melbourne (Industrial),2023,Male,Age 60-64,0
West Melbourne (Industrial),2023,Female,Age 65-69,0
West Melbourne (Industrial),2023,Male,Age 70-74,0
West Melbourne (Industrial),2023,Male,Age 75-79,0
West Melbourne (Industrial),2023,Male,Age 80-84,0
West Melbourne (Residential),2023,Male,Age 20-24,605
West Melbourne (Residential),2023,Female,Age 25-29,1004
West Melbourne (Residential),2023,Male,Age 30-34,852
West Melbourne (Residential),2023,Female,Age 35-39,482
West Melbourne (Residential),2023,Male,Age 35-39,386
West Melbourne (Residential),2023,Female,Age 40-44,210
West Melbourne (Residential),2023,Male,Age 40-44,312
West Melbourne (Residential),2023,Male,Age 45-49,172
West Melbourne (Residential),2023,Male,Age 50-54,150
West Melbourne (Residential),2023,Male,Age 55-59,78
West Melbourne (Residential),2023,Male,Age 60-64,60
West Melbourne (Residential),2023,Female,Age 65-69,69
West Melbourne (Residential),2023,Female,Age 70-74,32
West Melbourne (Residential),2023,Male,Age 70-74,66
West Melbourne (Residential),2023,Female,Age 75-79,5
West Melbourne (Residential),2023,Male,Age 75-79,21
West Melbourne (Residential),2023,Male,Age 80-84,0
City of Melbourne,2023,Total,Age 5-9,2746
City of Melbourne,2023,Total,Age 10-14,2059
